# R.D. Deslattes, E.G. Kessler Jr., P. Indelicato, L. de Billy, E. Lindroth, J. Anton, J.S. Coursey, D.J. Schwab, C. Chang, R. Sukumar, K. Olsen, and R.A. Dragoset (2005), X-ray Transition Energies (version 1.2). [Online] Available: http://physics.nist.gov/XrayTrans [2009, May 22]. National Institute of Standards and Technology, Gaithersburg, MD. 
# Elements: All (Neon - Fermium)
# Transitions: All
# Energy Range: 0 eV - 200000 eV
# Sorted by Energy
# Downloaded: 22-May-2009
# Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Combined (eV)	Unc. (eV)	Vapor (eV)	Unc. (eV)	Blend	Ref.
Xe		KM5	33888.6	3.3								
Ce		KL1	33896.2	1.4								
Ce		KL2	34279.6	1.0	34279.28	0.28						1d
Xe		KN1	34353.4	6.0								
Xe		KN3	34408	11	34414.7	4.2					KN2,3	1d
Xe		KN2	34408.9	6.9	34414.7	4.2					KN2,3	1d
Xe		KN4	34495.4	3.2								
Xe		KN5	34497.2	3.1								
Xe		K edge	34566.5	2.6	34593	71	34565.13	0.33				1d
Ce		KL3	34720.09	0.94	34720.00	0.29						1d
Cs		KM1	34766.7	1.2								
Cs		KM2	34918.5	1.7	34919.68	0.58						1d
Cs		KM3	34985.8	1.5	34987.3	1.0						1d
Pr		KL1	35157.3	1.4								
Cs		KM4	35244.9	1.4								
Cs		KM5	35258.6	1.3								
Pr		KL2	35550.5	1.1	35550.59	0.30						1d
Cs		KN1	35755.7	4.1								
Cs		KN2	35813.2	5.1	35821.7	3.1					KN2,3	1d
Cs		KN3	35823.0	3.8	35821.7	3.1					KN2,3	1d
Cs		KN4	35905.3	1.3								
Cs		KN5	35907.4	1.2								
Cs		K edge	35991.92	0.62	35988.0	1.5	35985.6	6.1				1d
Pr		KL3	36026.27	0.98	36026.71	0.31						1d
Ba		KM1	36147.3	1.3								
Ba		KM2	36303.9	1.7	36303.35	0.12						5d
Ba		KM3	36377.5	1.6	36377.445	0.080						5d
Nd		KL1	36445.1	1.5								
Ba		KM4	36644.4	1.4	36643.2	3.2						1d
Ba		KM5	36659.5	1.4	36666.0	3.2						1d
Nd		KL2	36848.2	1.1	36847.502	0.080						5d
Ba		KN1	37188.0	4.2								
Ba		KN2	37249	16	37257.7	1.7					KN2,3	1d
Ba		KN3	37262.9	1.3	37257.7	1.7					KN2,3	1d
Ba		KN4	37347.7	5.2	37311.5	3.3					KN4,5	1d
Ba		KN5	37349.84	0.86	37311.5	3.3					KN4,5	1d
Nd		KL3	37361.4	1.0	37360.739	0.070						5d
Ba		K edge	37450.23	0.63	37452.4	1.7	37440.00	0.34				1d
La		KM1	37559.0	1.3								
La		KM2	37720.5	1.8	37720.60	0.68						1d
Pm		KL1	37759.6	1.5								
La		KM3	37800.9	1.6	37801.45	0.51						1d
La		KM4	38075.4	1.5	38074.6	3.5						1d
La		KM5	38092.1	1.4	38094.5	3.5						1d
Pm		KL2	38172.7	1.2	38171.55	0.70						1d
La		KN1	38654.0	4.2								
La		KN2	38717	16	38730.3	1.3					KN2,3	1d
Pm		KL3	38725.6	1.1	38725.11	0.72						1d
La		KN3	38732.9	1.4	38730.3	1.3					KN2,3	1d
La		KN4	38823.1	5.0	38828.2	3.6					KN4,5	1d
La		KN5	38825.05	0.90	38828.2	3.6					KN4,5	1d
La		K edge	38939.45	0.67	38934.3	9.0	38929.3	4.2				1d
Ce		KM1	39006.9	1.4								
Sm		KL1	39101.2	1.6								
Ce		KM2	39172.7	1.8	39170.46	0.73						1d
Ce		KM3	39260.9	1.7	39257.77	0.37						1d
Sm		KL2	39524.3	1.2	39523.39	0.10						5d
Ce		KM4	39542.1	1.5	39539.0	3.7						1d
Ce		KM5	39561.2	1.4	39557.9	3.7						1d
Sm		KL3	40119.4	1.1	40118.481	0.060						5d
Ce		KN1	40155.1	4.3								
Ce		KN2	40220	16	40233.1	1.9					KN2,3	1d
Ce		KN3	40237.4	1.4	40233.1	1.9					KN2,3	1d
Ce		KN4	40330.4	4.7	40336.5	3.9					KN4,5	1d
Ce		KN5	40334.22	0.93	40336.5	3.9					KN4,5	1d
Ce		K edge	40446.57	0.71	40453.6	9.8	40444.7	1.7				1d
Eu		KL1	40470.1	1.6								
Pr		KM1	40484.3	1.4								
Pr		KM2	40654.5	1.9	40653.27	0.99						1d
Pr		KM3	40750.9	1.8	40748.67	0.79						1d
Eu		KL2	40903.5	1.2	40902.33	0.40						1d
Pr		KM4	41039.2	1.5								
Pr		KM5	41060.5	1.5								
Eu		KL3	41543.3	1.1	41542.63	0.41						1d
Pr		KN1	41688.1	4.3								
Pr		KN2	41754	16	41774.4	4.2					KN2,3	1d
Pr		KN3	41774.3	1.4	41774.4	4.2					KN2,3	1d
Gd		KL1	41865.8	1.6								
Pr		KN4	41872.4	4.5								
Pr		KN5	41876.35	0.97								
Nd		KM1	41993.8	1.5								
Pr		K edge	41994.11	0.75	42002	11	41988.76	0.78				1d
Nd		KM2	42168.5	1.9	42166.24	0.57						5d
Nd		KM3	42273.6	1.8	42270.90	0.57						5d
Gd		KL2	42309.7	1.3	42309.30	0.43						1d
Nd		KM4	42569.0	1.6								
Nd		KM5	42592.8	1.5								
Gd		KL3	42996.8	1.2	42996.72	0.44						1d
Nd		KN1	43254.5	4.3								
Tb		KL1	43291.4	1.7								
Nd		KN2	43322	16	43335	22					KN2,3	1d
Nd		KN3	43344.9	1.4	43335	22					KN2,3	1d
Nd		KN4	43449.2	4.2								
Nd		KN5	43452.3	1.0								
Pm		KM1	43535.6	1.6								
Nd		K edge	43575.27	0.79	43574	11	43571.90	0.60				1d
Pm		KM2	43714.8	2.0	43712.7	9.1						1d
Tb		KL2	43745.6	1.3	43744.62	0.46						1d
Pm		KM3	43829.2	1.9	43825.5	6.9						1d
Pm		KM4	44131.7	1.6								
Pm		KM5	44158.1	1.6								
Tb		KL3	44482.9	1.2	44482.75	0.47						1d
Dy		KL1	44744.3	1.7								
Pm		KN1	44854.1	4.3								
Pm		KN2	44923	16	44937	24					KN2,3	1d
Pm		KN3	44948.9	1.5	44937	24					KN2,3	1d
Pm		KN4	45060.8	4.0								
Pm		KN5	45061.8	1.1								
Sm		KM1	45110.3	1.7								
Pm		K edge	45189.77	0.87	45198	12						1d
Dy		KL2	45209.1	1.4	45208.27	0.49						1d
Sm		KM2	45293.9	2.0	45288.6	4.9						5d
Sm		KM3	45418.1	1.9	45413.0	4.9						5d
Sm		KM4	45728.1	1.8	45731.4	7.5					KM4,5	1d
Sm		KM5	45756.9	1.6	45731.4	7.5					KM4,5	1d
Dy		KL3	45999.4	1.3	45998.94	0.51						1d
Ho		KL1	46225.6	1.8								
Sm		KN1	46488.6	4.4								
Sm		KN2	46530	16	46575	26					KN2,3	1d
Sm		KN3	46588.2	1.5	46575	26					KN2,3	1d
Ho		KL2	46701.0	1.4	46699.98	0.15						8d
Sm		KN5	46706.4	1.1								
Sm		KN4	46709.1	3.8								
Eu		KM1	46718.4	1.8								
Sm		K edge	46839.02	0.91	46849	13	46837.7	1.5				1d
Eu		KM2	46906.5	2.1	46904.0	1.3						1d
Eu		KM3	47040.8	2.0	47038.4	1.3						1d
Eu		KM4	47358.3	1.7								
Eu		KM5	47389.4	1.7								
Ho		KL3	47547.5	1.3	47547.10	0.77						8d
Er		KL1	47736.8	1.9								
Eu		KN1	48157.3	4.3								
Er		KL2	48223.0	1.5	48221.61	0.20						5d
Eu		KN2	48230	16	48256.6	2.2					KN2,3	1d
Eu		KN3	48261.1	1.5	48256.6	2.2					KN2,3	1d
Gd		KM1	48357.9	2.0								
Eu		KN4	48382.0	3.5								
Eu		KN5	48384.3	1.2								
Eu		K edge	48523.77	0.96	48519.7	2.8	48517.01	0.63				1d
Gd		KM2	48550.5	2.1	48555.8	5.6						1d
Gd		KM3	48695.7	2.1	48696.9	5.7						1d
Gd		KM4	49020.8	1.8	49053.3	8.6					KM4,5	1d
Gd		KM5	49054.6	1.7	49053.3	8.6					KM4,5	1d
Er		KL3	49128.7	1.4	49127.24	0.12						5d
Tm		KL1	49276.7	1.9								
Tm		KL2	49773.8	1.5	49772.67	0.12						9d
Gd		KN1	49860.6	4.3								
Gd		KN2	49935.3	4.7	49960.6	8.9					KN2,3	1d
Gd		KN3	49969.7	1.5	49960.6	8.9					KN2,3	1d
Tb		KM1	50035.5	2.2								
Gd		KN4	50090.7	3.3								
Gd		KN5	50098.6	1.2								
Tb		KM2	50233.0	2.2	50229.8	6.0						1d
Gd		K edge	50251.67	0.97	50233.9	3.0	50243.4	1.1				1d
Tb		KM3	50389.1	2.2	50382.9	6.1						1d
Tb		KM4	50722.7	1.9								
Tm		KL3	50742.2	1.4	50741.475	0.092						9d
Tb		KM5	50757.8	1.8								
Yb		KL1	50846.5	2.0								
Yb		KL2	51354.7	1.6	51354.60	0.63						1d
Tb		KN1	51600.7	4.3								
Tb		KN2	51678.3	4.6	51724	64					KN2,3	1d
Tb		KN3	51714.0	1.6	51724	64					KN2,3	1d
Dy		KM1	51745.4	2.3								
Tb		KN4	51837.5	3.1								
Tb		KN5	51846.4	1.3								
Dy		KM2	51947.7	2.3	51958.1	6.4						1d
Tb		K edge	51999.5	1.1	52003.8	3.2	51996.4	2.6				1d
Dy		KM3	52115.7	2.3	52119.7	6.5						1d
Yb		KL3	52389.1	1.5	52389.48	0.66						1d
Lu		KL1	52445.5	2.1								
Dy		KM4	52457.4	1.9	52494.8	9.9					KM4,5	1d
Dy		KM5	52494.8	1.9	52494.8	9.9					KM4,5	1d
Lu		KL2	52965.3	1.7	52965.57	0.67						1d
Dy		KN1	53372.0	2.7								
Dy		KN2	53451.7	2.9	53510	68					KN2,3	1d
Dy		KN3	53483.2	1.2	53510	68					KN2,3	1d
Ho		KM1	53489.7	2.5								
Dy		KN4	53619.4	2.8								
Dy		KN5	53629.4	1.3								
Ho		KM2	53696.9	2.3	53711.3	6.9						8d
Dy		K edge	53792.3	1.1	53793.1	3.5	53786.2	2.5				1d
Ho		KM3	53877.5	2.4	53877.1	7.0						8d
Lu		KL3	54069.5	1.5	54070.39	0.70						1d
Hf		KL1	54074.8	2.1								
Ho		KM4	54227.4	2.0	54247	11					KM4,5	1d
Ho		KM5	54267.1	1.9	54247	11					KM4,5	1d
Hf		KL2	54606.4	1.7	54612.0	1.1						1d
Ho		KN1	55188.2	4.1								
Er		KM1	55270.1	2.7								
Ho		KN2	55271.2	4.4	55325	73					KN2,3	1d
Ho		KN3	55312.1	1.6	55325	73					KN2,3	1d
Ho		KN4	55442.0	2.6								
Ho		KN5	55453.7	1.3								
Er		KM2	55482.3	2.4	55479.72	0.35						5d
Ho		K edge	55620.8	1.1	55619.9	3.7	55614.6	1.2				1d
Er		KM3	55676.3	2.4	55673.52	0.18						5d
Ta		KL1	55735.0	2.1								
Hf		KL3	55784.1	1.6	55790.8	1.1						1d
Er		KM4	56034.5	2.0	56040	11					KM4,5	1d
Er		KM5	56076.6	2.0	56040	11					KM4,5	1d
Ta		KL2	56278.7	1.8	56277.6	1.5						1d
Er		KN1	57037.5	4.1								
Tm		KM1	57085.6	2.8								
Er		KN2	57123.3	4.3	57214	78					KN2,3	1d
Er		KN3	57167.0	1.7	57214	78					KN2,3	1d
Er		KN4	57301.1	2.3								
Tm		KM2	57302.8	2.5	57303.0	7.9						9d
Er		KN5	57313.3	1.4								
W		KL1	57426.1	2.2	57420	16						1d
Er		K edge	57487.4	1.2	57485.2	2.0	57486.3	1.3				14d
Tm		KM3	57511.0	2.5	57508.76	0.15						9d
Ta		KL3	57533.9	1.7	57533.2	1.6						1d
Tm		KM4	57877.6	2.1	57924.8	8.0					KM4,5	1d
Tm		KM5	57922.3	2.0	57924.8	8.0					KM4,5	1d
W		KL2	57981.9	1.9	57981.77	0.14						5,81d
Tm		KN1	58923.4	4.0								
Yb		KM1	58937.5	3.0								
Tm		KN2	59012.3	4.3	59095	83					KN2,3	1d
Tm		KN3	59058.9	1.7	59095	83					KN2,3	1d
Re		KL1	59150.0	2.2								
Yb		KM2	59160.1	2.6	59152	42						1d
Tm		KN4	59197.7	2.1								
Tm		KN5	59209.8	1.5								
W		KL3	59318.8	1.7	59318.847	0.050						5d
Yb		KM3	59383.3	2.7	59367.1	8.4						1d
Tm		K edge	59391.1	1.3	59379	21	59389.0	1.3				1d
Re		KL2	59718.3	1.9	59718.57	0.43						1d
Yb		KM4	59758.2	2.2	59782.2	8.5					KM4,5	1d
Yb		KM5	59805.4	2.1	59782.2	8.5					KM4,5	1d
Lu		KM1	60823.9	3.1								
Yb		KN1	60847.3	3.9								
Os		KL1	60905.6	2.3								
Yb		KN2	60939.1	4.1	60985	89					KN2,3	1d
Yb		KN3	60988.5	1.8	60985	89					KN2,3	1d
Lu		KM2	61051.8	2.7	61048	18						1d
Yb		KN4	61132.8	1.9								
Re		KL3	61141.2	1.8	61141.00	0.89						1d
Yb		KN5	61144.8	1.5								
Lu		KM3	61291.2	2.7	61283	13						1d
Yb		K edge	61333.3	1.3	61305	22	61330.8	6.8				1d
Os		KL2	61486.6	2.0	61487.27	0.90						1d
Lu		KM4	61674.4	2.2	61731.9	9.1					KM4,5	1d
Lu		KM5	61725.3	2.2	61731.9	9.1					KM4,5	1d
Ir		KL1	62694.2	2.3								
Hf		KM1	62747.2	3.2								
Lu		KN1	62809.2	4.0								
Lu		KN2	62903.9	4.2	62967	95					KN2,3	1d
Lu		KN3	62957.6	1.8	62967	95					KN2,3	1d
Hf		KM2	62980.8	2.7	62980	19						1d
Os		KL3	62999.9	1.9	63001.07	0.95						1d
Lu		KN4	63106.5	2.5								
Lu		KN5	63119.0	1.6								
Hf		KM3	63237.2	2.8	63234	14						1d
Ir		KL2	63288.1	2.1	63287.29	0.96						1d
Lu		K edge	63322.7	1.4	63305	24	63315.52	0.64				1d
Hf		KM4	63628.8	2.3								
Hf		KM5	63683.2	2.2								
Pt		KL1	64515.5	2.4								
Ta		KM1	64708.3	3.2								
Hf		KN1	64810.0	4.1								
Ir		KL3	64896.5	2.0	64896.2	1.0						1d
Hf		KN2	64907.3	4.3	64980	101					KN2,3	1d
Ta		KM2	64947.7	2.8	64949.6	1.0						1d
Hf		KN3	64965.3	1.9	64980	101					KN2,3	1d
Hf		KN4	65119.3	2.6								
Pt		KL2	65122.6	2.1	65123.3	2.0						1d
Hf		KN5	65132.6	1.7								
Ta		KM3	65222.1	2.9	65223.3	2.0						1d
Hf		K edge	65352.0	1.4	65316	25	65350.36	0.98				1d
Ta		KM4	65622.1	2.4	65626.9	3.1						1d
Ta		KM5	65680.4	2.3	65683.6	3.1						1d
Au		KL1	66372.5	2.4	66400	21						1d
W		KM1	66706.9	3.3								
Pt		KL3	66831.1	2.0	66832.9	2.1						1d
Ta		KN1	66866.7	4.2								
W		KM2	66952.1	2.9	66952.19	0.25						5,81d
Ta		KN2	66966.8	4.3	66949.4	4.8						1d
Au		KL2	66993.0	2.3	66990.73	0.22						5d
Ta		KN3	67029.3	2.0	67013.5	4.3						1d
Ta		KN5	67202.7	1.7	67195.4	5.4					KN4,5	1d
Ta		KN4	67242.1	2.8	67195.4	5.4					KN4,5	1d
W		KM3	67245.6	3.0	67245.0	1.1						5d
Ta		K edge	67431.9	1.5	67403.7	5.4	67411.24	0.79				1d
W		KM4	67654.0	2.5	67652.3	2.7						1d
W		KM5	67716.4	2.4	67715.9	3.8						1d
Hg		KL1	68260.5	2.5								
Re		KM1	68745.6	3.4								
Au		KL3	68806.9	2.2	68804.50	0.18						5d
Hg		KL2	68894.3	2.3	68895.1	1.7						1d
W		KN1	68932.0	4.3								
Re		KM2	68996.8	3.0	68995.2	1.7						1d
W		KN2	69035.5	4.6	69032.5	5.7						1d
W		KN3	69102.2	2.0	69101.3	4.0						1d
W		KN4	69267.3	3.2	69295	11					KN4,5	1d
W		KN5	69281.8	1.8	69295	11					KN4,5	1d
Re		KM3	69310.4	3.2	69310.3	1.7						1d
W		K edge	69533.0	1.6	69508.5	5.8	69524.8	2.5				1d
Re		KM4	69727.3	2.5	69719.6	5.8						1d
Re		KM5	69793.9	2.5	69786.3	5.8						1d
Tl		KL1	70185.1	2.5								
Hg		KL3	70819.0	2.2	70819.5	1.8						1d
Os		KM1	70823.2	3.5								
Tl		KL2	70832.7	2.4	70832.5	1.2						1d
Re		KN1	71053.6	4.4								
Os		KM2	71080.5	3.1	71078.1	1.8						1d
Re		KN2	71159.6	4.5	71152.0	6.0						1d
Re		KN3	71231.9	2.1	71232.1	3.6						1d
Re		KN4	71402.1	3.2	71410	12					KN4,5	1d
Os		KM3	71415.3	3.3	71413.9	1.8						1d
Re		KN5	71417.6	1.9	71410	12					KN4,5	1d
Re		K edge	71687.5	1.7	71657.8	6.1	71677.41	0.74				1d
Os		KM4	71840.9	2.6	71823.8	6.2						1d
Os		KM5	71911.8	2.6	71894.7	6.2						1d
Pb		KL1	72145.0	2.6								
Pb		KL2	72806.6	2.5	72805.42	0.24						5d
Tl		KL3	72873.8	2.3	72872.5	1.3						1d
Ir		KM1	72941.1	3.6								
Ir		KM2	73204.6	3.2	73203.4	1.3						1d
Os		KN1	73217.2	4.5								
Os		KN2	73326.3	4.6	73318.9	6.4						1d
Os		KN3	73404.0	2.2	73403.2	3.9						1d
Ir		KM3	73561.8	3.4	73561.7	1.3						1d
Os		KN4	73579.9	3.5	73615	13					KN4,5	1d
Os		KN5	73595.9	2.0	73615	13					KN4,5	1d
Os		K edge	73884.0	1.7	73856.2	6.5	73876.4	1.2				1d
Ir		KM4	73996.1	2.7	73980	13						1d
Ir		KM5	74071.6	2.8	74075.5	5.9						1d
Bi	209	KL1	74141.0	2.7								
Bi	209	KL2	74816.8	2.6	74816.21	0.92						8d
Pb		KL3	74970.2	2.4	74970.11	0.17						5d
Pt		KM1	75099.4	3.6								
Pt		KM2	75369.1	3.3	75368.7	2.0						1d
Ir		KN1	75418.4	4.7								
Ir		KN2	75530.8	4.8	75529.9	6.8						1d
Ir		KN3	75614.1	2.4	75619.3	4.8						1d
Pt		KM3	75749.9	3.4	75749.1	2.1						1d
Ir		KN4	75795.7	3.8	75821	14					KN4,5	1d
Ir		KN5	75812.4	2.2	75821	14					KN4,5	1d
Ir		K edge	76117.5	1.8	76100.1	6.9	76112.38	0.60				1d
Po	209	KL1	76173.9	2.7								
Pt		KM4	76193.1	2.7	76198	14						1d
Pt		KM5	76273.4	2.7	76273	21						1d
Po	209	KL2	76864.1	2.7	76864.4	7.1						1d
Bi	209	KL3	77108.9	2.5	77109.2	2.2						8d
Au		KM1	77301.2	3.7								
Au		KM2	77577.3	3.5	77575.01	0.61						5d
Pt		KN1	77672.2	4.7								
Pt		KN2	77788.0	4.8	77785.5	7.2						1d
Pt		KN3	77877.2	2.3	77878.3	7.2						1d
Au		KM3	77983.0	3.7	77979.80	0.38						5d
Pt		KN4	78064.5	3.8	78070	15					KN4,5	1d
Pt		KN5	78081.9	2.1	78070	15					KN4,5	1d
At	210	KL1	78243.8	2.8								
Pt		K edge	78404.2	1.9	78380.5	7.3	78398.7	2.3				1d
Au		KM4	78435.1	3.0	78439.0	5.1						1d
Au		KM5	78520.3	2.9	78529.5	3.7						1d
At	210	KL2	78948.5	2.8	78944	15						1d
Po	209	KL3	79291.2	2.6	79292.9	7.5						1d
Hg		KM1	79541.6	3.8								
Hg		KM2	79824.1	3.6	79823.3	2.3						1d
Au		KN1	79963.3	4.8								
Au		KN2	80082.5	5.1	80076	15						1d
Au		KN3	80177.9	2.5	80186.2	6.9						1d
Hg		KM3	80256.1	3.7	80254.2	2.3						1d
Rn	222	KL1	80351.3	2.9								
Au		KN4	80371.0	4.2	80391.1	3.9					KN4,5	1d
Au		KN5	80389.0	2.3	80391.1	3.9					KN4,5	1d
Hg		KM4	80717.1	3.0	80754	16					KM4,5	1d
Au		K edge	80734.7	2.1	80721.3	3.9	80725.6	1.5				1d
Hg		KM5	80807.6	2.9	80754	16					KM4,5	1d
Rn	222	KL2	81070.7	3.0	81066	24						1d
At	210	KL3	81517.4	2.7	81514	16						1d
Tl		KM1	81827.0	3.9								
Tl		KM2	82116.0	3.7	82118.4	4.8						1d
Hg		KN1	82302.4	4.9								
Hg		KN2	82425.1	5.2	82435	16						1d
Fr	223	KL1	82498.8	2.9								
Hg		KN3	82527.7	2.5	82545	16						1d
Tl		KM3	82575.6	3.8	82576.7	4.1						1d
Hg		KN4	82726.0	4.2	82776	16					KN4,5	1d
Hg		KN5	82745.3	2.3	82776	16					KN4,5	1d
Tl		KM4	83045.6	3.1	83114.8	8.2					KM4,5	1d
Hg		K edge	83111.3	2.1	83109.2	8.2	83104.5	3.2				1d
Tl		KM5	83141.7	3.0	83114.8	8.2					KM4,5	1d
Fr	223	KL2	83233.3	3.1	83232	25						1d
Rn	222	KL3	83788.6	2.8	83783	25						1d
Pb		KM1	84156.2	4.0								
Pb		KM2	84451.8	3.8	84450.45	0.60						5d
Ra	226	KL1	84685.4	3.0								
Tl		KN1	84685.5	5.0								
Tl		KN2	84811.8	5.3	84838.0	8.6						1d
Tl		KN3	84921.3	4.5	84948.5	8.6						1d
Pb		KM3	84940.3	3.9	84939.08	0.34						5d
Tl		KN4	85125.4	4.4	85194	17					KN4,5	1d
Tl		KN5	85145.9	4.3	85194	17					KN4,5	1d
Pb		KM4	85419.7	3.2	85434	17						1d
Ra	226	KL2	85435.1	3.2	85436	12						10d
Pb		KM5	85521.4	3.1	85535	26						1d
Tl		K edge	85538.2	2.2	85534.5	8.7	85530.1	1.3				1d
Fr	223	KL3	86107.4	3.0	86105	27						1d
Bi	209	KM1	86529.6	4.1								
Bi	209	KM2	86831.9	3.9	86835.7	6.7						8d
Ac	227	KL1	86913.0	3.1								
Pb		KN1	87114.5	5.1								
Pb		KN2	87244.1	5.4	87238	18						1d
Bi	209	KM3	87351.4	4.1	87344.1	3.3						8d
Pb		KN3	87362.0	4.6	87366.9	9.1						1d
Pb		KN4	87571.0	4.4	87589	27					KN4,5	1d
Pb		KN5	87593.2	4.4	87589	27					KN4,5	1d
Ac	227	KL2	87678.2	3.3	87676	18						1d
Bi	209	KM4	87839.7	3.3	87862.2	9.2					KM4,5	1d
Bi	209	KM5	87947.6	3.2	87862.2	9.2					KM4,5	1d
Pb		K edge	88012.8	2.3	88005.6	4.6	88004.72	0.69				1d
Ra	226	KL3	88473.4	3.0	88476	12						10d
Po	209	KM1	88948.8	4.2								
Th	232	KL1	89176.6	3.2								
Po	209	KM2	89257.9	4.1	89247	19						1d
Bi	209	KN1	89590.3	5.2								
Bi	209	KN2	89723.9	5.7	89731.7	9.6						1d
Po	209	KM3	89809.8	4.2	89797	19						1d
Bi	209	KN3	89849.4	4.7	89861.8	9.6						1d
Th	232	KL2	89956.6	3.5	89957.04	0.20						5d
Bi	209	KN4	90064.5	4.7	90110	19					KN4,5	1d
Bi	209	KN5	90088.0	4.5	90110	19					KN4,5	1d
Po	209	KM4	90307.3	3.4								
Po	209	KM5	90421.5	3.3								
Bi	209	K edge	90536.5	2.4	90537.7	9.8	90528.59	0.96				1d
Ac	227	KL3	90888.8	3.2	90884.8	7.9						1d
At	210	KM1	91413.9	4.3								
Pa	231	KL1	91488.0	3.3								
At	210	KM2	91729.9	4.2	91723	40						1d
Po	209	KN1	92115.1	5.3								
Po	209	KN2	92252.5	5.8	92262	20						1d
Pa	231	KL2	92283.5	3.6	92283.4	2.0						10d
At	210	KM3	92315.8	4.4	92304	41						1d
Po	209	KN3	92386.8	4.8	92400	20						1d
Po	209	KN4	92607.3	4.8								
Po	209	KN5	92632.5	4.6								
At	210	KM4	92822.6	3.5								
At	210	KM5	92943.4	3.5								
Po	209	K edge	93109.9	2.5			93107.2	4.0				
Th	232	KL3	93347.9	3.3	93347.38	0.25						5d
U	238	KL1	93842.0	3.4								
U	233	KL1	93843.7	3.4								
Rn	222	KM1	93925.8	4.4								
Rn	222	KM2	94248.8	4.4	94247	53						1d
U	238	KL2	94653.1	3.7	94650.84	0.56						5d
U	233	KL2	94655.1	3.7	94652.78	0.70						9d
At	210	KN1	94687.9	5.4								
At	210	KN2	94829.1	6.0	94846	43						1d
Rn	222	KM3	94870.2	4.4	94867	54						1d
At	210	KN3	94972.8	4.9	94991	43						1d
At	210	KN4	95198.7	4.9								
At	210	KN5	95225.8	4.8								
Rn	222	KM4	95386.7	3.6								
Rn	222	KM5	95514.5	3.6								
At	210	K edge	95733.5	2.7			95729	15				
Pa	231	KL3	95864.8	3.4	95866.4	2.0						10d
Np	237	KL1	96240.6	3.5	96232	34						64d
Fr	223	KM1	96487.3	4.5								
Fr	223	KM2	96817.3	4.6	96808	56						1d
Np	237	KL2	97067.6	3.9	97068.4	3.0						10d
Rn	222	KN1	97310.5	5.5								
Rn	222	KN2	97455.1	6.1	97478	57						1d
Fr	223	KM3	97476.7	4.7	97478	57						1d
Rn	222	KN3	97609.1	5.0	97639	57						1d
Rn	222	KN4	97840.1	4.9								
Rn	222	KN5	97868.9	4.7								
Fr	223	KM4	98002.4	3.8								
Fr	223	KM5	98137.4	3.8								
Rn	222	K edge	98408.1	2.8			98404	24				
U	238	KL3	98433.6	3.6	98431.58	0.28						5d
U	233	KL3	98435.6	3.6	98433.75	0.60						9d
Pu	244	KL1	98682.4	3.6								
Pu	239	KL1	98683.5	3.6								
Ra	226	KM1	99097.5	4.6								
Ra	226	KM2	99434.7	4.6	99434	12						10d
Pu	244	KL2	99524.7	4.0	99529.4	2.0						10d
Pu	239	KL2	99526.0	4.0	99523.2	1.2						9d
Fr	223	KN1	99984.7	5.4								
Ra	226	KM3	100133.8	4.8	100136	12						10d
Fr	223	KN2	100134.0	6.4	100155	60						1d
Fr	223	KN3	100298.1	5.2	100326	60						1d
Fr	223	KN4	100535.0	5.1								
Fr	223	KN5	100566.1	5.1								
Ra	226	KM4	100669.1	3.9								
Ra	226	KM5	100811.5	3.8								
Np	237	KL3	101057.3	3.7	101056.3	3.0						10d
Fr	223	K edge	101141.2	3.0			101137	23				
Am	243	KL1	101171.7	3.7								
Am	241	KL1	101172.2	3.7	101174.9	2.7						66d
Ac	227	KM1	101758.9	4.8								
Am	243	KL2	102030.1	4.2	102031.3	2.0						10d
Am	241	KL2	102030.7	4.2	102030.3	3.8						11d
Ac	227	KM2	102103.3	4.8	102102	25						1d
Ra	226	KN1	102710.7	5.4								
Ac	227	KM3	102844.2	4.9	102847	25						1d
Ra	226	KN2	102864.8	6.6	102861	12						10d
Ra	226	KN3	103039.3	5.1	103045	12						10d
Ra	226	KN4	103282.7	5.4								
Ra	226	KN5	103316.0	5.4								
Ac	227	KM4	103389.0	4.0								
Ac	227	KM5	103539.3	4.0								
Cm	248	KL1	103706.4	3.8								
Cm	245	KL1	103707.4	3.8								
Pu	244	KL3	103734.0	3.9	103740.3	2.0						10d
Pu	239	KL3	103735.4	3.9	103734.05	0.60						9d
Ra	226	K edge	103927.7	3.0			103920.5	5.4				
Th	232	KM1	104465.6	4.9								
Cm	248	KL2	104580.7	4.3	104590.3	2.0						10d
Cm	245	KL2	104581.8	4.3	104589.0	5.0						11d
Th	232	KM2	104817.2	4.9	104816.53	0.69						5d
Ac	227	KN1	105491.2	5.5								
Th	232	KM3	105601.9	5.1	105601.51	0.53						5d
Ac	227	KN2	105648.6	6.6	105679	27						1d
Ac	227	KN3	105835.8	5.3	105868	27						1d
Ac	227	KN4	106083.6	5.3								
Ac	227	KN5	106119.2	5.3								
Th	232	KM4	106156.4	4.2	106270	12					KM4,5	1d
Bk	250	KL1	106290.0	4.0								
Bk	249	KL1	106290.5	4.0	106318	65						70d
Th	232	KM5	106314.9	4.1	106270	12					KM4,5	1d
Am	243	KL3	106469.8	4.1	106473.3	3.0						10d
Am	241	KL3	106470.4	4.1	106471.3	4.2						11d
Ac	227	K edge	106768.2	3.2			106759	19				
